ID,CODIGO_VENTA,MATERIAL,CICLO,SUBCICLO,FECHA_CAPTACION,TIPO,UNIDADES,VENTA ONLINE,COD_LINEA_SEPARACION,LINEA_SEPARACION,COD_CANAL_DISTRIBUCION,CANAL_DISTRIBUCION
000ed0002c5d4d0e5b9deb813976e577,3698,50335274,202115,,2021-10-26,Venta com Descuento,1,Sí,,,3,Plaza
001f3a2f541c7cf28a19c0af35146f03,86944,50283782,202114b,2o SubCiclo,2021-10-25,Reclamo,1,No,,,3,Plaza
0022b81734ca5f89aecaa2128969912a,92596,50264617,202114b,2o SubCiclo,2021-10-25,Venta Normal,51,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
002faadfe44cf116dde83c2c374360f9,70825,50349665,202115,,2021-10-25,Venta Normal,4,No,,,3,Plaza
003213441eba84028ea7df262404d9bc,109942,50364715,202115,,2021-10-26,Reclamo,1,No,,,3,Plaza
003abb9dcef2c6d56a64ef6a00176aaa,102658,50316517,202115,,2021-10-25,Venta Normal,15,No,7.0,Knapp PTL,3,Plaza
003eaca646117083abb0bf0e87ebf783,85317,50289342,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,19,No,7.0,Knapp PTL,3,Plaza
004417eeeca7897da725d091ddeb51ef,57995,50182971,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,77,No,,,3,Plaza
0064f38c1402c2521f8dd7f0dd7205f5,43081,50206563,202114b,2o SubCiclo,2021-10-25,Venta Normal,54,No,,,3,Plaza
0068154e3e1874051834649cce1cd5aa,92798,50321180,202115,,2021-10-25,Venta Normal,17,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
00734e19f8d525993d34386da42f0879,87512,50296248,202114b,2o SubCiclo,2021-10-26,Venta Normal,18,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
007e0e0fbfb6098aa4a630b1656b7ab7,57993,50182979,202114b,2o SubCiclo,2021-10-26,Venta com Descuento,162,No,,,3,Plaza
0088187a5b48360e5c834e5cc73c648e,91093,50310298,202115,,2021-10-25,Venta com Descuento,8,No,,,3,Plaza
0089e2fc0cc8b677ad5fc427e9b7bd62,17043,50324253,202115,,2021-10-25,Venta com Descuento,74,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
0090bd720d9ae1fee8b601252fec39d8,69614,50270021,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,7.0,Knapp PTL,3,Plaza
