Material|Descripción|Unidades por caja|Peso (g)|Volumen (cm3)|Coste medio|Coste última reposición
50000092|ESTUCHE REPICKING NAVIDAD 2005|0|76|190|14|14
50000093|DEMO-FOLH PRIM/VERAO - INT|0|1|1|0|0
50000133|BIOGRAFIA-CJ PROMOCIONAL 99|0|1|1|0|0
50000224|SOMBRA EM BASTAO-PEROLA|0|15|53|2|1
50000225|DEMO LABIALES EXTREMO CONFORT VARIOS|0|20|20|1|1
50000226|SOMBRA EM BASTAO-COBRE|0|15|53|1|0
50000227|SOMBRA EM BASTAO-ROSA|0|15|10|2|2
50000253|MAMA Y BEBE-PORTAUTILIDADES C4/2001|0|60|120|1|1
50000291|DEMO-FLACONETES RF FEM INT|0|9|5|4|4
50000292|DEMO-FLACONETES RF MASC INT|66|90|540|6|6
50000293|DEMO-DESOD RF 4ML INT|0|9|5|0|0
50000296|DEMO-FLACONETE RF EDT FEM INT|0|9|5|0|0
50000297|DEMO-FLACONETE RF EDT MASC INT|0|9|5|0|0
50000298|DEMO-FLACONETE RF INFANTIL INT|0|90|5|1|1
50000299|DEMO-EST PLASTICO PERF INT|0|120|1500|6|6
50000321|NATURA TRAT CUERPO-HIDRATANTE CORPORAL|30|197|545|7|8
50000322|NATURA TRAT CUERPO-CREMA DE MANOS C|0|72|300|2|2
50000692|FACES LOOK MIX FOLK|0|1|1|8|8
50000693|HOJE-DEMO DESOD 4ML|660|8|12|1|1
50000763|NATURA EKOS-JABON EN BARRA GUARANA|0|280|289|2|1
50000830|ESTUCHE SEVE ILUMINADOR NAVIDAD 2005|0|1|2600|10|10
50000831|SEVE-DESOD CORPORAL RF|0|185|311|0|0
50000832|LINHA JOVEM-DESOD COLONIA Sabine|0|270|591|5|2
50000833|SEVE-DEMO DESOD C/6 1.2ML AGN|0|24|48|0|0
50000834|LINHA JOVEM-DEMO DESOD C/6 1.2ML AGN|0|28|48|0|0
50000854|HOJE-DESOD SPRAY|56|151|351|5|5
50000860|SEVE-DEMO DESOD 4ML|0|11|1|0|0
50000861|Sabine -DEMO DESOD 4ML|0|10|1|0|0
50000866|NATURA EKOS-JABON LIQUIDO GUARANA|40|340|500|2|2
50000867|NATURA EKOS REP JABON LIQ GUARANA|36|218|614|1|1
50000868|NATURA EKOS-JABON LIQUIDO CASTAÑA PARA|40|340|536|1|1
50000869|NATURA EKOS REP JABON LIQ CASTAÑA PARA|36|218|536|1|1
50000870|NATURA EKOS-JABON EN BARRA CASTAÑA PARA|0|280|289|2|2
50000871|NATURA EKOS-SHAMPOO MACELA 330ML.|40|397|605|2|2
50000872|NATURA EKOS-CONDICIONADOR MACELA 330ML|40|322|539|1|1
50000873|NATURA EKOS-CONDICIONADOR CASTAÑA SECOS|40|330|539|1|1
50000874|NATURA EKOS REPUESTO ACOND MACELA|36|218|628|1|1
50000875|NATURA EKOS REPUESTO ACOND PITANGA|36|218|628|1|1
50000876|NATURA EKOS REPUESTO SHAMPOO CASTAÑA|36|218|710|1|1
50000877|NATURA EKOS REPUESTO ACOND CASTAÑA|36|218|710|1|1
50000878|NATURA EKOS-EMULSION MANTECA DE CUPUACU|40|336|536|2|2
50000879|NATURA EKOS-COLONIA HOJA FRESCA|40|190|416|4|4
50000880|NATURA EKOS-COLONIA FLOR DE AGUA 150 ML|0|190|416|1|1
50000881|NATURA EKOS-COLONIA LIMA DE LA TIERRA|40|190|416|4|4
50000882|EKOS COLONIA PITANGA|0|191|416|1|3
50000885|NATURA EKOS-OLEO DE MARACUYA TRIFASICO|0|224|314|3|3
50000886|NATURA EKOS-OLEO DE BURITI TRIFASICO|50|224|315|3|2
50000887|NATURA EKOS REPUESTO GEL CREMOSO CASTAÑA|36|324|629|1|2
50000888|NATURA EKOS REP EMULS MANTECA CUPUACU|36|324|629|2|2
50000890|HOJE-DESODORANTE SPRAY RF|72|111|180|2|2
50000894|FOLLETO CHRONOS SPILOL 2006|0|1|1|0|0
50000896|BIOGRAFIA MULHER-EST DIA MAES 2000|0|0|0|0|0
50000944|M&B- CONJUNTO ESPECIAL BEBE|0|1|1|33|33
50000946|SEVE CARAMELERA C/ AMPOLLAS P/BAÑO|0|1|770|2|2
50000972|Sintonia Masculino Desod colonia|40|89|250|17|17
50000977|FACES LABIAL BRILLO Y SAB MORA|0|22|44|3|3
50000980|CARTA KAIAK URBE|0|1|1|0|0
50000981|FACES LABIAL BRILLO FRAMBUESA|0|22|44|3|3
50000982|CHRONOS SPILOL 60+ PRE-LANZAMIENTO|0|22|44|3|3
50000983|CHRONOS SPILOL 30+ PRE-LANZAMIENTO|0|22|44|3|3
50000984|FACES LABIAL BRILLO Y SAB DULCE DE LECHE|0|22|44|3|3
50000985|SOMBRA-DUO Flautim|0|64|132|4|4
50000986|SOMBRA-DUO Bemol|0|64|132|9|10
50000987|KAIAK MASCULINO INDICACION C09/10-06|0|67|132|11|11
50000988|BLUSH-Oboe|0|67|132|4|4
50000995|NATURA EKOS-CONDICIONADOR PITANGA OLEOSO|40|330|539|1|1
50000996|NATURA EKOS-GEL CREMOSO CASTAÑAS|40|330|536|2|2
50000997|NATURA EKOS REPUESTO SHAMPOO MACELA|36|218|710|2|1
50000998|NATURA EKOS REPUESTO SHAMPOO PITANGA|36|218|710|1|1
50001000|DEMO SINTONIA MASC COLONIA x 4ml|660|1|550|1|0
50001001|NATURA EKOS-SHAMPOO PITANGA OLEOSO|40|403|605|1|1
50001047|Labial Protector Acacia|0|22|46|3|3
50001060|Labial Protector  Begonia|0|22|46|3|3
50001061|Labial Protector Fresia|0|22|46|2|3
50001062|Labial Protector Dalia|0|22|46|2|3
50001064|Labial Protector Geranio|0|22|46|3|3
50001066|CHRONOS SPILOL 60+ PRE-LANZAMIENTO|0|30|46|18|18
50001069|Rubor Zinia|0|67|40|10|10
50001070|REVELAR DE NATURA-DEMO 1ML*6 UNID|352|24|320|1|1
50001071|KAIAK AVENTURA FEMENINO DISPLAY|0|1|113|0|0
50001072|REVELAR DE NATURA-DEMO DESOD 4ML|0|10|190|0|0
50001073|REVELAR DE NATURA-DESOD COLONIA|32|307|684|29|29
50001074|TARJETON KAIAK AVENTURA FEM|0|1|124|0|0
50001081|Hoje Femenino - Desod. Col. 100ml|36|331|564|10|10
50001083|Hoje Femenino - Demo  4 ml|1320|8|10|1|1
50001084|ESTUCHE HOJE FEMEMENINO ENAMORADOS 2005|352|24|3400|16|16
50001098|Duo de Sombras Gerbera|0|64|124|3|3
50001100|ERVA DOCE DESOD EN LOCION SPRAY 90 ml|56|156|322|2|2
50001101|ERVA DOCE REP DESOD EN LOCION SPRAY 90ml|72|136|300|0|0
50001102|ERVA DOCE CREMA PARA MANOS Y UÑAS|99|71|209|1|1
50001156|FOTOEQUILIBRIO-EMULSION PROT FPS 8|46|173|366|4|4
50001157|FOTOEQUILIBRIO-EMULSION PROT FPS 15|46|173|366|4|4
50001158|FOTOEQUILIBRIO-EMULSION PROT FPS 30|46|173|366|5|5
50001159|FOTOEQUILIBRIO EMULS PROT FPS 30 ULTRA|46|178|404|10|10
50001181|FOTOEQUILIBRIO-FLUIDO SECO FPS 15|0|236|575|13|13
50001182|Delineador Líquido Negro|750|11|50|4|4
50001183|DELINEADOR LIQUIDO PARA OJOS GRAFITE|0|11|29|1|1
